GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tdd,cat.albirar.daw.tdd,TddException,9,7,0,0,4,4,2,2,2,2
tdd,cat.albirar.daw.tdd,TddApplication,5,16,0,0,2,5,1,3,1,3
tdd,cat.albirar.daw.tdd.comptes.impl,ServeiComptesImpl,5,124,2,2,1,26,2,9,0,9
tdd,cat.albirar.daw.tdd.comptes,CompteOperatiuBean,5,103,1,7,0,24,1,10,0,7
tdd,cat.albirar.daw.tdd.comptes,CompteOperatiuBean.CompteOperatiuBeanBuilderImpl,0,7,0,0,0,2,0,2,0,2
tdd,cat.albirar.daw.tdd.comptes,CompteBean,102,26,16,0,19,7,14,4,6,4
tdd,cat.albirar.daw.tdd.comptes,LimitDiariTransferenciesExceditException,0,16,0,0,0,2,0,1,0,1
tdd,cat.albirar.daw.tdd.comptes,SaldoInsuficientException,13,3,0,0,6,2,3,1,3,1
tdd,cat.albirar.daw.tdd.comptes,CompteBean.CompteBeanBuilderImpl,0,7,0,0,0,2,0,2,0,2
tdd,cat.albirar.daw.tdd.comptes,CompteOperatiuBean.CompteOperatiuBeanBuilder,26,9,0,0,4,3,2,2,2,2
tdd,cat.albirar.daw.tdd.comptes,CompteInexistentException,22,0,0,0,6,0,3,0,3,0
tdd,cat.albirar.daw.tdd.comptes,CompteBean.CompteBeanBuilder,34,15,0,0,6,5,3,3,3,3
